frame_idx,source,ocr_text,ocr_raw,status_text,hsv_label,hsv_green,hsv_red,vcb_box,label_box,status_box,num_boxes,yolo_ms,total_ms,fps
0,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.771) | From Aux Tr 4TR4T-Y(0.540),"green (g=296, r=0)",green,296,0,"416,233,840,720,0.9862","530,500,727,546,0.9616","478,499,498,514,0.8186",3,1565.405,1819.698,0.550
1,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.832) | From Aux Tr 4TR4T-Y(0.477),"green (g=296, r=0)",green,296,0,"416,233,840,720,0.9861","530,500,727,546,0.9623","478,499,498,514,0.7939",3,39.298,131.471,7.606
2,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.677) | From Aux Tr 4TR4I-Y(0.621),"green (g=296, r=0)",green,296,0,"416,233,840,720,0.9857","530,500,727,546,0.9595","478,499,498,514,0.8265",3,38.262,136.347,7.334
3,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.729) | From Aux Tr 4TR4T-Y(0.692),"green (g=254, r=0)",green,254,0,"416,233,840,720,0.9860","530,500,727,546,0.9589","478,499,498,514,0.8201",3,43.386,136.489,7.327
4,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.705) | From Aux Tr 4TR4T-Y(0.648),"green (g=248, r=0)",green,248,0,"416,233,840,720,0.9856","530,500,727,546,0.9557","478,499,498,514,0.8280",3,46.462,143.228,6.982
5,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.623) | From Aux Tr 4TR4T-Y(0.634),"green (g=280, r=0)",green,280,0,"416,233,840,720,0.9854","530,500,727,546,0.9629","478,499,498,514,0.8189",3,43.837,141.147,7.085
6,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.723) | From Aux Tr 4TR4-Y(0.909),"green (g=274, r=0)",green,274,0,"416,233,840,720,0.9854","530,500,727,546,0.9582","478,499,498,514,0.8032",3,38.741,133.174,7.509
7,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.775) | From Aux Tr 4TR41-Y(0.770),"green (g=300, r=0)",green,300,0,"415,233,840,720,0.9853","530,499,727,546,0.9581","478,498,498,513,0.8201",3,47.199,150.618,6.639
8,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.461) | From Aux Tr 4TRAT-Y(0.578),"green (g=280, r=0)",green,280,0,"415,232,840,720,0.9857","530,498,727,545,0.9601","477,498,497,512,0.8405",3,45.931,144.169,6.936
9,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.490) | From Aux Tr 4TRAI-Y(0.417),"green (g=300, r=0)",green,300,0,"414,230,840,720,0.9856","530,497,728,544,0.9512","477,497,497,512,0.7367",3,43.949,142.374,7.024
10,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.634) | From Aux Tr 4TR4I-Y(0.382),"green (g=320, r=0)",green,320,0,"413,228,839,720,0.9852","529,496,727,543,0.9558","476,495,496,511,0.7765",3,43.440,139.589,7.164
11,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.867) | From Aux Tr 4TR41-Y(0.351),"green (g=288, r=0)",green,288,0,"410,227,838,720,0.9848","527,495,725,542,0.9543","474,495,494,510,0.9177",3,42.446,143.502,6.969
12,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.596) | From Aux Tr 4TR41-Y(0.478),"green (g=265, r=0)",green,265,0,"405,225,836,720,0.9840","524,494,721,542,0.9602","471,495,490,510,0.9477",3,42.778,142.969,6.995
13,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.683) | From Aux Tr 4TRA1-Y(0.599),"green (g=285, r=0)",green,285,0,"398,225,831,720,0.9794","518,494,716,542,0.9647","465,495,484,510,0.8373",3,37.469,133.786,7.475
14,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.658) | From Aux Tr 4TRAI-Y(0.571),"green (g=320, r=0)",green,320,0,"391,225,823,720,0.9796","511,495,710,543,0.9596","457,496,477,512,0.8481",3,43.700,140.425,7.121
15,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.785) | From Aux Tr 4TRAI-Y(0.534),"green (g=272, r=0)",green,272,0,"380,226,815,720,0.9797","503,497,702,545,0.9469","448,499,468,514,0.8444",3,39.352,136.014,7.352
16,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.451) | From Aux Tr 4TRAI-Y(0.529),"green (g=274, r=0)",green,274,0,"370,227,803,720,0.9900","490,500,693,547,0.9655","437,502,457,517,0.8524",3,41.424,140.296,7.128
17,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.886) | From Aux Tr 4TRAT-Y(0.440),"green (g=320, r=0)",green,320,0,"356,229,796,720,0.9896","484,503,684,550,0.9648","427,506,447,522,0.8298",3,41.449,132.519,7.546
18,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.926) | From Aux Tr 4TRAI-Y(0.519),"green (g=320, r=0)",green,320,0,"346,232,788,720,0.9885","473,506,678,555,0.9907","419,511,439,527,0.8639",3,40.209,146.366,6.832
19,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.832) | From Aux Tr 4TR41-Y(0.591),"green (g=278, r=0)",green,278,0,"339,235,782,720,0.9850","468,511,675,559,0.9896","412,516,433,532,0.8872",3,42.249,131.652,7.596
20,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.552) | From Aux Tr 4TR41-Y(0.721),"green (g=364, r=0)",green,364,0,"335,239,780,720,0.9854","466,515,672,564,0.9909","409,521,431,538,0.8839",3,43.016,137.773,7.258
21,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.698) | From Aux Tr 4TR41-Y(0.725),"green (g=315, r=0)",green,315,0,"333,242,780,719,0.9815","465,518,672,568,0.9437","409,527,430,542,0.9450",3,41.742,136.365,7.333
